location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,market_equity,monthly,vw,-1,358,131,1926-01-31,0.0291258479050949
usa,market_equity,monthly,vw,-1,362,133,1926-02-28,-0.0374399615228538
usa,market_equity,monthly,vw,-1,368,135,1926-03-31,-0.0559145357305443
usa,market_equity,monthly,vw,-1,369,136,1926-04-30,0.00494125655396531
usa,market_equity,monthly,vw,-1,373,137,1926-05-31,-0.00711708870156897
usa,market_equity,monthly,vw,-1,375,138,1926-06-30,-0.00212763950417186
usa,market_equity,monthly,vw,-1,368,135,1926-07-31,-0.0273682644771928
usa,market_equity,monthly,vw,-1,373,137,1926-08-31,0.000435256823969939
usa,market_equity,monthly,vw,-1,382,140,1926-09-30,-0.0161230346848993
usa,market_equity,monthly,vw,-1,380,138,1926-10-31,-0.00871305040319376
usa,market_equity,monthly,vw,-1,383,140,1926-11-30,-0.00726301820818981
usa,market_equity,monthly,vw,-1,386,141,1926-12-31,-0.00316919299246088
usa,market_equity,monthly,vw,-1,388,143,1927-01-31,0.0139247550016226
usa,market_equity,monthly,vw,-1,391,143,1927-02-28,0.0193518126246959
usa,market_equity,monthly,vw,-1,391,143,1927-03-31,-0.0334541208908593
usa,market_equity,monthly,vw,-1,394,144,1927-04-30,-0.00582656019753674
usa,market_equity,monthly,vw,-1,395,144,1927-05-31,0.00823332106386299
usa,market_equity,monthly,vw,-1,399,146,1927-06-30,0.00492299183527259
usa,market_equity,monthly,vw,-1,401,147,1927-07-31,-0.0341510191846528
usa,market_equity,monthly,vw,-1,400,146,1927-08-31,-0.0270274252268572
usa,market_equity,monthly,vw,-1,405,148,1927-09-30,-0.0286999896237319
usa,market_equity,monthly,vw,-1,415,152,1927-10-31,0.00691137171082601
usa,market_equity,monthly,vw,-1,418,153,1927-11-30,0.0244167322225713
usa,market_equity,monthly,vw,-1,419,153,1927-12-31,0.0111819489157329
usa,market_equity,monthly,vw,-1,423,154,1928-01-31,0.0361347139472932
usa,market_equity,monthly,vw,-1,423,154,1928-02-29,-0.0130913216836729
usa,market_equity,monthly,vw,-1,422,154,1928-03-31,-0.0183243326275023
usa,market_equity,monthly,vw,-1,421,154,1928-04-30,0.0514858017428798
usa,market_equity,monthly,vw,-1,424,155,1928-05-31,0.0177819207802144
usa,market_equity,monthly,vw,-1,424,155,1928-06-30,-0.0353890786837189
usa,market_equity,monthly,vw,-1,424,155,1928-07-31,-0.0168024124983105
usa,market_equity,monthly,vw,-1,430,157,1928-08-31,-0.0249454869736045
usa,market_equity,monthly,vw,-1,433,158,1928-09-30,0.0219224691164527
usa,market_equity,monthly,vw,-1,437,160,1928-10-31,0.00436992937445137
usa,market_equity,monthly,vw,-1,440,161,1928-11-30,-0.0226294592275889
usa,market_equity,monthly,vw,-1,443,162,1928-12-31,-0.0253372622928329
usa,market_equity,monthly,vw,-1,446,163,1929-01-31,-0.0407228386463314
usa,market_equity,monthly,vw,-1,449,164,1929-02-28,0.00279124619305919
usa,market_equity,monthly,vw,-1,452,166,1929-03-31,-0.0416588192985845
usa,market_equity,monthly,vw,-1,457,167,1929-04-30,-0.0064320839854024
usa,market_equity,monthly,vw,-1,469,171,1929-05-31,-0.0581392065232301
usa,market_equity,monthly,vw,-1,476,174,1929-06-30,-0.0411413329090577
usa,market_equity,monthly,vw,-1,479,175,1929-07-31,-0.0403645650769463
usa,market_equity,monthly,vw,-1,486,178,1929-08-31,-0.0928691148771823
usa,market_equity,monthly,vw,-1,494,180,1929-09-30,0.00515806102336425
usa,market_equity,monthly,vw,-1,489,179,1929-10-31,-0.0413849571570939
usa,market_equity,monthly,vw,-1,490,179,1929-11-30,-0.016036883323277
usa,market_equity,monthly,vw,-1,505,184,1929-12-31,-0.0611717709408131
usa,market_equity,monthly,vw,-1,514,188,1930-01-31,0.0763994958002211
usa,market_equity,monthly,vw,-1,516,189,1930-02-28,0.0115722763785643
usa,market_equity,monthly,vw,-1,518,189,1930-03-31,0.0327101812811056
usa,market_equity,monthly,vw,-1,526,192,1930-04-30,-0.0233752898568686
usa,market_equity,monthly,vw,-1,528,193,1930-05-31,-0.0290315226614608
usa,market_equity,monthly,vw,-1,517,188,1930-06-30,-0.0513944017036762
usa,market_equity,monthly,vw,-1,516,189,1930-07-31,0.00272758579707838
usa,market_equity,monthly,vw,-1,524,191,1930-08-31,-0.0306615192546152
usa,market_equity,monthly,vw,-1,517,189,1930-09-30,-0.0421561936540888
usa,market_equity,monthly,vw,-1,516,189,1930-10-31,-0.0227529116639515
usa,market_equity,monthly,vw,-1,518,190,1930-11-30,0.0125666231502661
usa,market_equity,monthly,vw,-1,515,187,1930-12-31,-0.0783251081282183
usa,market_equity,monthly,vw,-1,520,190,1931-01-31,0.0994445248664713
usa,market_equity,monthly,vw,-1,520,190,1931-02-28,0.0530976549468812
usa,market_equity,monthly,vw,-1,522,190,1931-03-31,-0.00679330500624926
usa,market_equity,monthly,vw,-1,517,189,1931-04-30,-0.0718321110499694
