location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ope_be,monthly,vw,1,12,5,1950-11-30,-0.0309587251966344
usa,ope_be,monthly,vw,1,14,6,1950-12-31,-0.0112617561008452
usa,ope_be,monthly,vw,1,19,8,1951-01-31,0.00272937203706335
usa,ope_be,monthly,vw,1,27,12,1951-02-28,0.0254188496911975
usa,ope_be,monthly,vw,1,36,16,1951-03-31,-0.00959034786183424
usa,ope_be,monthly,vw,1,42,18,1951-04-30,0.0230367748387421
usa,ope_be,monthly,vw,1,189,87,1951-05-31,-0.016392562096226
usa,ope_be,monthly,vw,1,197,90,1951-06-30,-0.024961250628039
usa,ope_be,monthly,vw,1,202,93,1951-07-31,-0.0184901314823377
usa,ope_be,monthly,vw,1,204,94,1951-08-31,-0.0107670922605666
usa,ope_be,monthly,vw,1,208,96,1951-09-30,0.00678947234005835
usa,ope_be,monthly,vw,1,211,98,1951-10-31,-0.0426817521489193
usa,ope_be,monthly,vw,1,210,97,1951-11-30,0.00512767818983453
usa,ope_be,monthly,vw,1,211,98,1951-12-31,0.019574697877397
usa,ope_be,monthly,vw,1,211,97,1952-01-31,-0.0455353495603406
usa,ope_be,monthly,vw,1,214,99,1952-02-29,0.0072792463932921
usa,ope_be,monthly,vw,1,215,100,1952-03-31,0.0102811122176641
usa,ope_be,monthly,vw,1,215,100,1952-04-30,-0.00456141015845609
usa,ope_be,monthly,vw,1,217,101,1952-05-31,0.0159842436988318
usa,ope_be,monthly,vw,1,218,101,1952-06-30,0.0168698513470909
usa,ope_be,monthly,vw,1,218,101,1952-07-31,0.0144587315511495
usa,ope_be,monthly,vw,1,216,101,1952-08-31,0.00320346941980697
usa,ope_be,monthly,vw,1,217,101,1952-09-30,0.0165568871846152
usa,ope_be,monthly,vw,1,217,101,1952-10-31,-0.0052332439134339
usa,ope_be,monthly,vw,1,218,101,1952-11-30,0.0466327028505789
usa,ope_be,monthly,vw,1,218,101,1952-12-31,0.00583299080191268
usa,ope_be,monthly,vw,1,219,101,1953-01-31,-0.00132061263626388
usa,ope_be,monthly,vw,1,218,101,1953-02-28,-0.0172734125835459
usa,ope_be,monthly,vw,1,219,101,1953-03-31,-0.00979160045279337
usa,ope_be,monthly,vw,1,219,102,1953-04-30,0.0042265675782474
usa,ope_be,monthly,vw,1,219,104,1953-05-31,0.00654598945320304
usa,ope_be,monthly,vw,1,219,103,1953-06-30,-0.00685533020037256
usa,ope_be,monthly,vw,1,220,105,1953-07-31,-0.00341652463803714
usa,ope_be,monthly,vw,1,218,105,1953-08-31,-0.00559569750018492
usa,ope_be,monthly,vw,1,219,105,1953-09-30,0.0200671010232477
usa,ope_be,monthly,vw,1,220,105,1953-10-31,0.028498188119127
