location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,qmj,monthly,vw,1,16,7,1955-11-30,-0.0485936255111987
usa,qmj,monthly,vw,1,19,9,1955-12-31,0.0564953757910773
usa,qmj,monthly,vw,1,24,11,1956-01-31,-0.0252350382299121
usa,qmj,monthly,vw,1,34,16,1956-02-29,0.0139241267652774
usa,qmj,monthly,vw,1,45,22,1956-03-31,0.0390590984042273
usa,qmj,monthly,vw,1,49,24,1956-04-30,0.0569754124872076
usa,qmj,monthly,vw,1,242,120,1956-05-31,-0.0105318441664665
usa,qmj,monthly,vw,1,248,123,1956-06-30,-0.0200974872673836
usa,qmj,monthly,vw,1,255,126,1956-07-31,0.00435606670281281
usa,qmj,monthly,vw,1,257,126,1956-08-31,-0.00734277857770102
usa,qmj,monthly,vw,1,262,128,1956-09-30,0.0122323431424631
usa,qmj,monthly,vw,1,264,129,1956-10-31,0.0111455450896804
usa,qmj,monthly,vw,1,265,130,1956-11-30,-0.0183343633435568
usa,qmj,monthly,vw,1,265,130,1956-12-31,0.00929083482701022
usa,qmj,monthly,vw,1,266,130,1957-01-31,-0.0166192184445016
usa,qmj,monthly,vw,1,266,130,1957-02-28,0.0111180357642989
usa,qmj,monthly,vw,1,266,130,1957-03-31,0.0156878822249076
usa,qmj,monthly,vw,1,265,130,1957-04-30,0.0143249204787188
usa,qmj,monthly,vw,1,305,150,1957-05-31,0.00534871410164263
usa,qmj,monthly,vw,1,304,150,1957-06-30,0.0071358419771019
usa,qmj,monthly,vw,1,306,152,1957-07-31,0.0159444224803681
usa,qmj,monthly,vw,1,303,150,1957-08-31,0.00448169720434528
usa,qmj,monthly,vw,1,303,150,1957-09-30,0.021769069588441
usa,qmj,monthly,vw,1,306,152,1957-10-31,0.0185980133349873
usa,qmj,monthly,vw,1,309,150,1957-11-30,-0.00341989770557048
usa,qmj,monthly,vw,1,308,150,1957-12-31,0.015782821810413
usa,qmj,monthly,vw,1,311,150,1958-01-31,-0.0342367533795767
usa,qmj,monthly,vw,1,309,149,1958-02-28,0.00216230792304634
usa,qmj,monthly,vw,1,311,151,1958-03-31,0.00690702726066554
usa,qmj,monthly,vw,1,312,151,1958-04-30,0.0202033013115455
usa,qmj,monthly,vw,1,311,150,1958-05-31,-0.00723956636583534
usa,qmj,monthly,vw,1,309,150,1958-06-30,0.00235555987442719
usa,qmj,monthly,vw,1,308,150,1958-07-31,0.000332353527546916
usa,qmj,monthly,vw,1,309,150,1958-08-31,0.00870226393488061
usa,qmj,monthly,vw,1,309,149,1958-09-30,-0.00653069731096522
