location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,rvol_21d,monthly,vw,-1,311,129,1926-02-28,0.0340885747853097
usa,rvol_21d,monthly,vw,-1,325,133,1926-03-31,0.0554503081900767
usa,rvol_21d,monthly,vw,-1,310,132,1926-04-30,0.00409566285146491
usa,rvol_21d,monthly,vw,-1,316,128,1926-05-31,0.00934803395252791
usa,rvol_21d,monthly,vw,-1,290,122,1926-06-30,-0.0174783154570946
usa,rvol_21d,monthly,vw,-1,304,123,1926-07-31,0.00394182296326138
usa,rvol_21d,monthly,vw,-1,291,124,1926-08-31,-0.00026344552948316
usa,rvol_21d,monthly,vw,-1,295,122,1926-09-30,-0.0399541973113558
usa,rvol_21d,monthly,vw,-1,313,130,1926-10-31,0.0278880697099115
usa,rvol_21d,monthly,vw,-1,317,130,1926-11-30,0.0201749798305427
usa,rvol_21d,monthly,vw,-1,316,132,1926-12-31,0.00554235109898984
usa,rvol_21d,monthly,vw,-1,323,133,1927-01-31,-0.00030898016151846
usa,rvol_21d,monthly,vw,-1,326,134,1927-02-28,-0.0283368725348764
usa,rvol_21d,monthly,vw,-1,334,136,1927-03-31,0.024803020924688
usa,rvol_21d,monthly,vw,-1,323,131,1927-04-30,0.0219278612306002
usa,rvol_21d,monthly,vw,-1,331,132,1927-05-31,-0.00971866476702289
usa,rvol_21d,monthly,vw,-1,332,136,1927-06-30,0.0169479879393577
usa,rvol_21d,monthly,vw,-1,332,137,1927-07-31,0.0301395704316332
usa,rvol_21d,monthly,vw,-1,339,138,1927-08-31,0.0173506967357585
usa,rvol_21d,monthly,vw,-1,334,139,1927-09-30,-0.00661368165744033
usa,rvol_21d,monthly,vw,-1,346,141,1927-10-31,0.0307993645834099
usa,rvol_21d,monthly,vw,-1,359,144,1927-11-30,-0.0331917268891628
usa,rvol_21d,monthly,vw,-1,366,147,1927-12-31,-0.0124405290883715
usa,rvol_21d,monthly,vw,-1,368,147,1928-01-31,-0.0113993509276738
usa,rvol_21d,monthly,vw,-1,375,148,1928-02-29,0.0259953526172402
usa,rvol_21d,monthly,vw,-1,372,147,1928-03-31,-0.00863553986496807
usa,rvol_21d,monthly,vw,-1,368,146,1928-04-30,0.0104024505390809
usa,rvol_21d,monthly,vw,-1,389,152,1928-05-31,0.0226759079770002
usa,rvol_21d,monthly,vw,-1,390,151,1928-06-30,0.0388297039228556
usa,rvol_21d,monthly,vw,-1,373,146,1928-07-31,0.00323315410219143
usa,rvol_21d,monthly,vw,-1,362,144,1928-08-31,-0.0439757282499503
usa,rvol_21d,monthly,vw,-1,360,143,1928-09-30,-0.0596201112743276
usa,rvol_21d,monthly,vw,-1,380,154,1928-10-31,-0.0178017774130324
